REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,276.428,,,,3
Jan-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.302,,,,3
Jan-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,4.811,,,,3
Jan-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.804,,,,3
Jan-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.84,,,,3
Jan-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,1.847,,,,3
Jan-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,62.026,,,,3
Jan-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,118.51,,,,3
Jan-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,36.419,,,,3
Jan-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,9.536,,,,3
Jan-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.484,,,,3
Jan-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,25.399,,,,3
Jan-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,46.171,,,,3
Feb-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,255.893,,,,3
Feb-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,18.088,,,,3
Feb-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,6.115,,,,3
Feb-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.022,,,,3
Feb-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.61,,,,3
Feb-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,5.341,,,,3
Feb-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,77.397,,,,3
Feb-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,77.476,,,,3
Feb-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,27.423,,,,3
Feb-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,5.469,,,,3
Feb-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.219,,,,3
Feb-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,20.735,,,,3
Feb-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,55.509,,,,3
Mar-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,254.693,,,,3
Mar-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,20.758,,,,3
Mar-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,6.737,,,,3
Mar-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.469,,,,3
Mar-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.833,,,,3
Mar-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,7.719,,,,3
Mar-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,64.967,,,,3
Mar-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,94.289,,,,3
Mar-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,30.018,,,,3
Mar-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,4.401,,,,3
Mar-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.486,,,,3
Mar-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,24.131,,,,3
Mar-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,44.661,,,,3
Apr-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,215.859,,,,3
Apr-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,15.211,,,,3
Apr-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.944,,,,3
Apr-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.419,,,,3
Apr-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,8.486,,,,3
Apr-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.362,,,,3
